2024.04.01 19:18:24.122679 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66194
2024.04.01 19:18:24.301471 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//inci-erkek-loafer-x-b49-g2-c1108 
2024.04.01 19:18:27.877477 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66246
2024.04.01 19:18:28.066081 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//isilda/kadin-haki-kolsuz-cepli-yelek-p-80967556 
2024.04.01 19:18:31.830686 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66301
2024.04.01 19:18:32.014683 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//cocuk-mezuniyet-elbiseleri-x-g3-c1117 
2024.04.01 19:18:35.529327 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66393
2024.04.01 19:18:35.706953 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//lacoste/active-unisex-kahverengi-sapka-p-354102172 
2024.04.01 19:18:39.902029 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66411
2024.04.01 19:18:40.095635 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//yazlik-bot-y-s20676 
2024.04.01 19:18:43.951473 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66466
2024.04.01 19:18:44.128497 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//deep-silver/pc-call-of-juarez-p-2588364 
2024.04.01 19:18:48.355721 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66497
2024.04.01 19:18:48.532472 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//wesscollection-x-b164535 
2024.04.01 19:18:52.338743 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66569
2024.04.01 19:18:52.517331 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//inci/inci-alfa-n-2fx-erkek-loafer-p-223004715 
2024.04.01 19:18:56.315434 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66587
2024.04.01 19:18:56.497482 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//magaza/burak-ev-urunleri-m-751597 
2024.04.01 19:18:59.984293 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66590
2024.04.01 19:19:00.162422 | INFO | Miner | TrendyolScanningPage | Miner(0) | Trendyol sayfası taranıyor URL: https://www.trendyol.com//trent/kadin-kilot-full-dantelli-gelin-sort-p-814013567 
2024.04.01 19:19:04.135179 | INFO | Database | UrlCounted | Miner(0) | Kalan url sayısı: 66609
