ID,score,name,officialName,cityName,districtName,address
801448,10.0,Musclemax,YAKAMOZ SPORCU GIDALARI KUYUMCULUK İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,İstanbul,Beykoz,Mahalle/Semt:TOKATKÖY UZUNEVLİYA Cadde/Sokak:AKBABA CAD No:43
918550,10.0,Protein PEAK,ÜMİT KIZILER,İstanbul,Kağıthane,Mahalle/Semt:SULTAN SELİM MAH. Cadde/Sokak:DUMAN SK. No:37 İç Kapı No:4
170164,10.0,FİT365,GÖKHAN SELİMOĞLU,Trabzon,Ortahisar, Çarşı Mah. Uzun Sk. No:94
131747,10.0,supplement.türk,UFUK SIRACEDDİN ÇAPAROĞLU,Kilis,Merkez,büyükkütah mah. cumhuriyet cd. no:165
623060,10.0,Fitshopp,ELİF MERAL,İstanbul,Kadıköy,"Selamiçeşme, Bağdat Cad. 155/B, 34730 Kadıköy/İstanbul"
145785,10.0,fitness marketi,ALİ KEMAL KARATAŞ,İzmir,Karşıyaka,AKSOY MAHALLESİ GİRNE CADDESİ NO/46/B KARSIYAKA/İZMİR
739983,10.0,ProteinEczanesi,MEHMET MANDALLI,İstanbul,Kartal,Mahalle/Semt:GÜMÜŞPINAR MAH. Cadde/Sokak:MİLLET CAD.  ELMAS APT No:5 /1B
124892,9.9,Heracles Supplement,FERHAT GÜDERLER,Eskişehir,Tepebaşı,Eskibağlarbağlar Mah Üniversite Cd. Haller Gençlik Merkezi No2/28
167274,9.9,Bigjoy Sports,FARMATEK İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,İstanbul,Sarıyer,Dereboyu 2. Cad. Zağra İş Merkezi C blok No:14/2A MASLAK
375793,9.9,Allon Vitamin,ALLON YANGIN SİSTEMLERİ İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,İstanbul,Kadıköy,FENERYOLU MAH. BAĞDAT CAD. NO:155/B KORUR APT. KADIKÖY/İSTANBUL
138274,9.9,GoldProtein MARKET,ÖMER CAN SOLEY,İstanbul,Avcılar,AMBARLI MAH. HARMANYERİ SOK. NO:7/1
110102,9.9,Proteinci,İHSAN ÖZTÜRK,İstanbul,Bahçelievler,Çamlık Caddesi no 2/C    İSTANBUL  / BAHÇELİEVLER
769397,9.9,Protein34,PROTEİN34 SPOR MALZEMELERİ VE GIDA ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,İstanbul,Ümraniye,Mahalle/Semt:MEHMET AKİF MAH. Cadde/Sokak:TAVUKÇUYOLU CAD. No:102 A
121087,9.3,BAYVİTAMİN,VİTAMİT SAĞLIK KOZMETİK MEDİKAL VE GIDA ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İstanbul,Kadıköy,feneryolu mah. bağdat cad. korur apt. 155/b dükkan ismi : BAYVİTAMİN
127822,9.1,Profit Sporcu Besinleri,PROFİT SPOR GIDA ÜRÜNLERİ İTHALAT VE İHRACAT TİCARET LİMİTED ŞİRKETİ,Gaziantep,Şahinbey,alleben mah kemal köker caddesi no 53 
108063,9.0,Bakım Shop,ALİ İHSAN GÜLSEVER,Mersin,Akdeniz,Çankaya Mah. 4708 Sok. No:5/C Akdeniz Mersin
151714,8.8,besinistanbul,KENAN EKİNCİ,İstanbul,Bağcılar,merkez mahallesi 676 sokak 7/ A bağcılar istanbul
106931,8.8,Vip Trend,VİP TREND İNTERNET TEKNOLOJİSİ TİCARET LİMİTED ŞİRKETİ,İstanbul,Ümraniye,N.FAZIL MAH. 19 MAYIS CAD. 20 3
243893,9.0,mobiloom,TRENDTEK TEKNOLOJİ LİMİTED ŞİRKETİ,İstanbul,Sarıyer,Huzur Mh. Umar Sk. İslamoğlu İş Mrk. No.2 D.3
327936,9.4,Yaren Ülker,İBRAHİM ÜLKER,Bursa,Karacabey,yenice mahallesi 107 sokak no 12 karacabey bursa 
127448,8.8,butikAli,ALİ ERDEMİR,Ankara,Mamak,GÜLVEREN MAHALLESİ GÜLİZAR CAD 3-B 
823834,8.7,Genç Elektronik0,AHMET GENÇ,Afyonkarahisar,İhsaniye,"Mahalle/Semt:ŞAHİNLER MAHALLESİ 
Cadde/Sokak:ADLİYE SOKAK NO 17 İÇ KAPI NO 3 
GENÇ TEKNOLOJİ "
468037,9.1,Santech,ABDUL AZİZ SANCAK,Bursa,Nilüfer,Mahalle:KONAK MAH. Cadde/Sokak:YILDIRIM CAD. Daire No: Kapı No:101 C
280994,9.9,XiaomiOrdu,TANER GÜRBÜZ,Ordu,Altınordu,şarkiye mah. barbaros cad. no:53/a
556299,9.1,Kala Teknoloji,ÖZKAN KINAY,Kırklareli,Merkez,"Eski Kavaklı Yolu Cad. Dış Kapı No: 46B İç Kapı No: 25 Akademi 2 B Blok
"
441542,9.0,LOTTICARET,OSMAN TİBET,İstanbul,Üsküdar,Cumhuriyet Caddesi Ayarcıbaşı Sokak No:9 D:16
853861,9.5,SCO TİCARET,SERHAT HALİM ÇOLAK,İstanbul,Ümraniye,Mahalle/Semt:Yamanevler Mahallesi.  Cadde/Sokak:Zeytindalı SK.  No:19 İç Kapı No:3
313080,9.0,KARA TİCARET,İBRAHİM KARA,Rize,İyidere,HAZAR MAHALLESİ İKİZDERE CAD. NO 13 İYİDERE/RİZE
111965,9.9,ZeTa,NESLİHAN ALICI,İstanbul,Üsküdar,M.Akif Ersoy Mah.Üzüm Sk. No:4/3 Üsküdar
636378,9.7,EVTECH ELEKTRONİK,EVTECH ELEKTRONİK KOZMETİK E-TİCARET İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Diyarbakır,Yenişehir,Mahalle/Semt:YENİŞEHİR MAH. Cadde/Sokak:ALİ EMİRİ 5. SK. ÇİÇEK APT No:4 İç Kapı No:4
566427,8.4,POSSIBLE,POSSİBLE ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İstanbul,Esenyurt,DOĞAN ARASLI BLV. HAN PLUS No:146 -150 İç Kapı No:267 
708107,8.7,Galaxy-Store,ARAILYM AKÇAY,Bursa,Osmangazi,FUAR CADDESİ BUTTİM ÇARŞI NO:61 D4 4251 - 1257
968,8.8,Trendyol,DSM GRUP DANIŞMANLIK İLETİŞİM VE SATIŞ TİCARET ANONİM ŞİRKETİ,İstanbul,Sarıyer,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş. Maslak Mahallesi Büyükdere Caddesi (Spine Plaza) No:243 İç Kapı No:19 Sarıyer/İstanbul
